Date;Date;Heure;Variation_de_pression_en_3_heures;Type_de_tendance_barometrique;Direction _du _vent _moyen_10 mn;Vitesse_du_vent_moyen_10 mn;Point_de_rosee;Humidite;Visibilite_horizontale;Temps_present;Nebulosite_totale;Hauteur_de_la_base_des_nuages;Pression_station;Variation_de_pression_en_24_heures;Rafale_sur_les_10_dernieres_minutes;Rafales_sur_une_periode;Nebulosite_couche_nuageuse_1;Temperature
2020-01-01T01:00:00+01:00;2020-01-01;01:00:00;0.0;0;210;0.7;277.35;78;15410.0;0;100.0;450.0;98930.0;200.0;1.5;2.5;8.0;7.800000000000011
2020-01-02T01:00:00+01:00;2020-01-02;01:00:00;-60.0;8;170;2.1;272.55;91;13000.0;0;;;98680.0;;;3.6;;0.7000000000000455
2020-01-03T01:00:00+01:00;2020-01-03;01:00:00;60.0;3;170;2.1;274.45;88;16310.0;0;90.0;5700.0;98540.0;-140.0;2.5;3.5;6.0;3.1000000000000227
2020-01-04T01:00:00+01:00;2020-01-04;01:00:00;50.0;0;240;1.1;279.05;92;17520.0;0;100.0;800.0;99180.0;640.0;2.5;2.7;8.0;7.100000000000023
2020-01-05T01:00:00+01:00;2020-01-05;01:00:00;-60.0;5;60;1.6;278.95;98;1290.0;10;101.0;30.0;99200.0;20.0;2.9;4.1;0.0;6.100000000000023
2020-01-06T01:00:00+01:00;2020-01-06;01:00:00;-90.0;7;190;1.4;275.05;99;100.0;45;101.0;30.0;98430.0;-770.0;2.0;2.8;0.0;2.0
2020-01-07T01:00:00+01:00;2020-01-07;01:00:00;70.0;3;160;2.4;276.15;90;14370.0;0;100.0;800.0;98930.0;500.0;3.0;3.6;8.0;4.5
2020-01-08T01:00:00+01:00;2020-01-08;01:00:00;0.0;0;170;2.7;274.85;89;23560.0;0;;;98800.0;-130.0;3.6;3.9;;3.3000000000000114
2020-01-09T01:00:00+01:00;2020-01-09;01:00:00;-160.0;8;170;2.6;276.35;95;26060.0;0;;;98280.0;-520.0;3.6;3.6;;3.900000000000034
2020-01-10T01:00:00+01:00;2020-01-10;01:00:00;130.0;1;240;4.6;278.65;86;15570.0;61;100.0;800.0;98310.0;30.0;6.5;10.1;3.0;7.7000000000000455
2020-01-11T01:00:00+01:00;2020-01-11;01:00:00;10.0;0;170;1.3;277.25;94;24450.0;0;100.0;1250.0;99010.0;700.0;1.7;2.7;8.0;5.0
2020-01-12T01:00:00+01:00;2020-01-12;01:00:00;-120.0;8;170;2.8;271.55;92;26810.0;0;;;98620.0;-390.0;3.3;4.3;;-0.5
2020-01-13T01:00:00+01:00;2020-01-13;01:00:00;-130.0;6;180;3.2;272.55;96;10410.0;0;;;98490.0;-130.0;3.6;3.6;;0.0
2020-01-14T01:00:00+01:00;2020-01-14;01:00:00;130.0;1;150;1.9;269.25;64;48820.0;0;;6840.0;97510.0;-980.0;2.8;4.5;1.0;2.2000000000000455
2020-01-15T01:00:00+01:00;2020-01-15;01:00:00;150.0;3;200;2.3;272.35;77;38070.0;0;;;97410.0;-100.0;3.6;3.7;;2.8000000000000114
2020-01-16T01:00:00+01:00;2020-01-16;01:00:00;-20.0;8;170;2.2;272.65;87;30740.0;0;;;98170.0;760.0;2.8;3.4;;1.400000000000034
2020-01-17T01:00:00+01:00;2020-01-17;01:00:00;50.0;0;150;3.7;276.15;78;19610.0;0;100.0;2940.0;97790.0;-380.0;5.1;5.1;7.0;6.600000000000023
2020-01-18T01:00:00+01:00;2020-01-18;01:00:00;-110.0;8;160;3.2;273.45;85;59430.0;0;;7200.0;98840.0;1050.0;4.1;4.4;1.0;2.6000000000000227
2020-01-19T01:00:00+01:00;2020-01-19;01:00:00;120.0;1;310;1.6;278.05;95;8020.0;63;100.0;450.0;97860.0;-980.0;2.1;5.0;1.0;5.600000000000023
2020-01-20T01:00:00+01:00;2020-01-20;01:00:00;10.0;0;40;2.2;269.65;79;31390.0;0;;;99150.0;1290.0;3.2;4.5;;-0.2999999999999545
2020-01-21T01:00:00+01:00;2020-01-21;01:00:00;-40.0;8;40;2.2;270.55;75;26370.0;0;100.0;800.0;98900.0;-250.0;4.1;4.4;1.0;1.400000000000034
2020-01-22T01:00:00+01:00;2020-01-22;01:00:00;-80.0;7;50;3.8;277.45;83;18130.0;0;100.0;450.0;98230.0;-670.0;6.7;9.5;8.0;7.0
2020-01-23T01:00:00+01:00;2020-01-23;01:00:00;40.0;2;180;2.4;277.25;92;19340.0;0;100.0;1250.0;97730.0;-500.0;3.7;3.7;7.0;5.300000000000011
2020-01-24T01:00:00+01:00;2020-01-24;01:00:00;50.0;1;150;0.9;274.25;98;14630.0;0;100.0;6240.0;97780.0;50.0;1.5;2.1;7.0;1.400000000000034
2020-01-25T01:00:00+01:00;2020-01-25;01:00:00;-60.0;7;150;3.1;273.95;76;48410.0;0;100.0;3060.0;97590.0;-190.0;4.9;4.9;8.0;4.7000000000000455
2020-01-26T01:00:00+01:00;2020-01-26;01:00:00;10.0;2;180;3.5;276.45;83;27730.0;0;100.0;2940.0;97450.0;-140.0;4.5;4.5;8.0;6.0
2020-01-27T01:00:00+01:00;2020-01-27;01:00:00;-60.0;6;160;2.7;274.65;84;60000.0;0;;6120.0;97760.0;310.0;3.5;4.2;1.0;4.0
2020-01-28T01:00:00+01:00;2020-01-28;01:00:00;20.0;0;290;5.2;278.15;68;60000.0;0;;3360.0;97020.0;-740.0;8.0;8.0;2.0;10.700000000000045
2020-01-29T01:00:00+01:00;2020-01-29;01:00:00;0.0;5;180;3.4;274.85;89;30570.0;0;;;97770.0;750.0;4.3;4.7;;3.3000000000000114
2020-01-30T01:00:00+01:00;2020-01-30;01:00:00;50.0;0;180;2.8;280.75;89;9900.0;63;100.0;1250.0;97680.0;-90.0;3.6;4.8;5.0;9.300000000000011
2020-01-31T01:00:00+01:00;2020-01-31;01:00:00;60.0;1;200;1.6;282.85;94;28510.0;0;100.0;1750.0;97770.0;90.0;2.7;4.1;7.0;10.600000000000023
2020-02-01T01:00:00+01:00;2020-02-01;01:00:00;-130.0;8;200;2.4;276.95;89;48390.0;0;;;97450.0;-320.0;3.4;3.6;;5.5
2020-02-02T01:00:00+01:00;2020-02-02;01:00:00;-60.0;8;210;3.4;278.65;92;59620.0;0;;;98090.0;640.0;4.2;4.4;;6.7000000000000455
2020-02-03T01:00:00+01:00;2020-02-03;01:00:00;30.0;3;170;3.5;278.75;63;54770.0;0;;;98460.0;370.0;4.6;5.6;;12.5
2020-02-04T01:00:00+01:00;2020-02-04;01:00:00;310.0;3;250;4.4;278.85;55;19910.0;0;;;98480.0;20.0;6.9;9.8;;14.600000000000023
2020-02-05T01:00:00+01:00;2020-02-05;01:00:00;40.0;0;290;1.6;275.35;80;36610.0;0;;1250.0;99140.0;660.0;2.1;2.7;4.0;5.400000000000034
2020-02-06T01:00:00+01:00;2020-02-06;01:00:00;-230.0;8;90;0.9;271.45;91;22690.0;0;;;98330.0;-810.0;3.0;3.1;;-0.39999999999997726
2020-02-07T01:00:00+01:00;2020-02-07;01:00:00;-10.0;0;170;3.4;272.65;86;46890.0;0;;5760.0;97920.0;-410.0;3.9;4.1;2.0;1.6000000000000227
2020-02-08T01:00:00+01:00;2020-02-08;01:00:00;20.0;1;170;2.7;273.05;80;22300.0;0;;;97890.0;-30.0;3.4;5.1;;3.0
2020-02-09T01:00:00+01:00;2020-02-09;01:00:00;-90.0;5;60;0.8;281.35;98;2680.0;10;90.0;80.0;98240.0;350.0;1.6;3.0;3.0;8.5
2020-02-10T01:00:00+01:00;2020-02-10;01:00:00;-140.0;7;220;3.4;279.25;66;60000.0;0;;;98030.0;-210.0;5.1;5.7;;12.300000000000011
2020-02-11T01:00:00+01:00;2020-02-11;01:00:00;-70.0;8;260;4.7;282.75;88;18850.0;0;100.0;450.0;98450.0;420.0;7.7;7.7;7.0;11.5
2020-02-12T01:00:00+01:00;2020-02-12;01:00:00;-110.0;8;180;2.2;280.15;95;58060.0;0;100.0;450.0;98320.0;-130.0;2.9;3.9;4.0;7.800000000000011
2020-02-13T01:00:00+01:00;2020-02-13;01:00:00;-40.0;5;150;2.9;277.55;96;25470.0;0;;2700.0;97720.0;-600.0;4.4;4.6;1.0;5.0
2020-02-14T01:00:00+01:00;2020-02-14;01:00:00;150.0;1;230;3.4;281.65;88;12840.0;0;100.0;450.0;98330.0;610.0;4.7;7.1;1.0;10.400000000000034
2020-02-15T01:00:00+01:00;2020-02-15;01:00:00;-30.0;8;180;2.8;276.75;91;19800.0;0;;;98200.0;-130.0;3.5;3.8;;4.900000000000034
2020-02-16T01:00:00+01:00;2020-02-16;01:00:00;-70.0;8;180;3.6;275.85;72;44770.0;0;;;97870.0;-330.0;4.5;5.6;;7.400000000000034
2020-02-17T01:00:00+01:00;2020-02-17;01:00:00;-40.0;6;170;3.1;277.05;79;36320.0;0;;;97750.0;-120.0;3.7;4.1;;7.300000000000011
2020-02-18T01:00:00+01:00;2020-02-18;01:00:00;50.0;2;200;2.0;275.35;92;55810.0;0;;;99060.0;1310.0;3.3;4.9;;3.400000000000034
2020-02-19T01:00:00+01:00;2020-02-19;01:00:00;-10.0;5;220;2.6;273.65;92;49320.0;0;;;99120.0;60.0;3.6;4.1;;1.7000000000000455
2020-02-20T01:00:00+01:00;2020-02-20;01:00:00;-190.0;8;170;2.0;272.75;91;24990.0;0;;;98290.0;-830.0;2.4;2.4;;0.9000000000000341
2020-02-21T01:00:00+01:00;2020-02-21;01:00:00;80.0;1;210;1.2;276.25;90;23420.0;0;;;98800.0;510.0;1.7;2.4;;4.600000000000023
2020-02-22T01:00:00+01:00;2020-02-22;01:00:00;-10.0;8;150;1.3;276.65;98;9440.0;0;;;98790.0;-10.0;1.7;2.8;;3.8000000000000114
2020-02-23T01:00:00+01:00;2020-02-23;01:00:00;-40.0;7;170;2.3;276.95;92;14370.0;0;;;99130.0;340.0;2.7;3.1;;5.0
2020-02-24T01:00:00+01:00;2020-02-24;01:00:00;-140.0;8;170;2.9;275.05;88;25810.0;0;;;98830.0;-300.0;4.1;4.1;;3.7000000000000455
2020-02-25T01:00:00+01:00;2020-02-25;01:00:00;-110.0;8;240;3.4;278.65;95;2670.0;10;100.0;150.0;97870.0;-960.0;5.0;5.0;8.0;6.2000000000000455
2020-02-26T01:00:00+01:00;2020-02-26;01:00:00;-90.0;5;260;7.4;278.15;83;14980.0;61;100.0;800.0;97580.0;-290.0;12.2;17.5;4.0;7.7000000000000455
2020-02-27T01:00:00+01:00;2020-02-27;01:00:00;-190.0;8;230;3.4;276.85;81;60000.0;0;100.0;800.0;97610.0;30.0;4.8;8.6;1.0;6.7000000000000455
2020-02-28T01:00:00+01:00;2020-02-28;01:00:00;30.0;1;260;3.8;282.25;95;19980.0;0;100.0;250.0;97880.0;270.0;6.1;7.9;7.0;9.900000000000034
2020-02-29T01:00:00+01:00;2020-02-29;01:00:00;-350.0;8;150;1.5;277.55;93;19910.0;0;;;96730.0;-1150.0;2.9;4.3;;5.400000000000034
2020-03-01T01:00:00+01:00;2020-03-01;01:00:00;-140.0;8;190;2.6;278.35;89;47170.0;0;100.0;1250.0;96800.0;70.0;3.7;3.7;2.0;6.900000000000034
2020-03-02T01:00:00+01:00;2020-03-02;01:00:00;-630.0;8;110;2.5;279.15;79;34500.0;0;100.0;2250.0;95610.0;-1190.0;4.5;5.7;6.0;9.5
2020-03-03T01:00:00+01:00;2020-03-03;01:00:00;100.0;1;240;4.1;275.95;92;11310.0;0;100.0;800.0;97140.0;1530.0;7.2;8.9;7.0;4.0
2020-03-04T01:00:00+01:00;2020-03-04;01:00:00;50.0;0;230;2.3;277.65;95;54420.0;0;90.0;250.0;97540.0;400.0;3.2;3.4;1.0;5.2000000000000455
2020-03-05T01:00:00+01:00;2020-03-05;01:00:00;-320.0;8;160;2.1;281.45;96;33490.0;0;100.0;4620.0;96930.0;-610.0;2.7;3.8;2.0;8.900000000000034
2020-03-06T01:00:00+01:00;2020-03-06;01:00:00;-150.0;8;240;6.9;276.25;76;17630.0;0;90.0;800.0;96810.0;-120.0;12.7;12.7;5.0;7.0
2020-03-07T01:00:00+01:00;2020-03-07;01:00:00;160.0;1;250;5.8;276.25;92;5420.0;61;100.0;450.0;97950.0;1140.0;9.4;10.6;1.0;4.300000000000011
2020-03-08T01:00:00+01:00;2020-03-08;01:00:00;-150.0;8;130;2.0;278.15;88;44940.0;0;;1250.0;98210.0;260.0;2.9;3.7;1.0;6.900000000000034
2020-03-09T01:00:00+01:00;2020-03-09;01:00:00;30.0;0;250;6.4;278.85;81;19600.0;0;100.0;800.0;98090.0;-120.0;10.8;12.4;7.0;8.800000000000011
2020-03-10T01:00:00+01:00;2020-03-10;01:00:00;-20.0;8;250;3.2;277.75;84;19590.0;61;100.0;1250.0;98430.0;340.0;5.0;6.8;3.0;7.100000000000023
2020-03-11T01:00:00+01:00;2020-03-11;01:00:00;20.0;0;170;2.1;278.35;97;11240.0;0;90.0;450.0;98400.0;-30.0;2.4;3.3;7.0;5.600000000000023
2020-03-12T01:00:00+01:00;2020-03-12;01:00:00;-80.0;7;190;2.4;280.55;93;18390.0;0;100.0;6360.0;97850.0;-550.0;2.9;3.0;8.0;8.5
2020-03-13T01:00:00+01:00;2020-03-13;01:00:00;120.0;0;350;1.8;282.05;98;12210.0;61;100.0;150.0;98180.0;330.0;3.3;5.1;8.0;9.200000000000045
2020-03-14T01:00:00+01:00;2020-03-14;01:00:00;10.0;0;320;1.2;278.95;87;42410.0;0;100.0;800.0;97980.0;-200.0;1.6;2.9;8.0;7.800000000000011
2020-03-15T01:00:00+01:00;2020-03-15;01:00:00;-170.0;8;190;0.9;274.55;94;17550.0;0;;;97670.0;-310.0;1.4;2.4;;2.3000000000000114
2020-03-16T01:00:00+01:00;2020-03-16;01:00:00;150.0;0;270;4.2;280.85;92;56770.0;60;100.0;250.0;96980.0;-690.0;8.3;8.3;8.0;8.900000000000034
2020-03-17T01:00:00+01:00;2020-03-17;01:00:00;150.0;1;240;1.6;280.95;92;40850.0;0;100.0;250.0;98220.0;1240.0;2.2;2.5;8.0;9.0
2020-03-18T01:00:00+01:00;2020-03-18;01:00:00;-90.0;8;170;1.4;280.85;98;12680.0;0;100.0;2880.0;98640.0;420.0;1.7;2.3;8.0;8.0
2020-03-19T01:00:00+01:00;2020-03-19;01:00:00;-130.0;8;160;1.2;281.25;96;19880.0;0;;;98000.0;-640.0;1.7;2.6;;8.700000000000045
2020-03-20T01:00:00+01:00;2020-03-20;01:00:00;-70.0;8;190;1.4;280.85;91;27580.0;0;100.0;4020.0;97400.0;-600.0;2.0;2.3;8.0;9.100000000000023
2020-03-21T01:00:00+01:00;2020-03-21;01:00:00;-50.0;8;180;1.2;279.05;91;18890.0;0;;;97160.0;-240.0;1.6;2.6;;7.300000000000011
2020-03-22T01:00:00+01:00;2020-03-22;01:00:00;-30.0;7;180;1.5;279.15;94;17830.0;0;;;96810.0;-350.0;1.9;2.7;;6.900000000000034
2020-03-23T01:00:00+01:00;2020-03-23;01:00:00;60.0;2;280;2.4;281.25;94;7820.0;0;;150.0;97360.0;550.0;3.6;4.4;1.0;9.0
2020-03-24T01:00:00+01:00;2020-03-24;01:00:00;30.0;1;130;0.8;281.05;98;100.0;45;101.0;30.0;97690.0;330.0;1.3;2.1;0.0;8.200000000000045
2020-03-25T01:00:00+01:00;2020-03-25;01:00:00;-90.0;8;170;2.1;276.85;89;26290.0;0;;;97330.0;-360.0;2.7;3.9;;5.400000000000034
2020-03-26T01:00:00+01:00;2020-03-26;01:00:00;-130.0;8;230;4.8;275.95;80;29550.0;0;100.0;1750.0;96960.0;-370.0;8.1;8.1;8.0;6.0
2020-03-27T01:00:00+01:00;2020-03-27;01:00:00;-10.0;8;180;2.5;273.15;96;4470.0;10;;;97100.0;140.0;3.1;3.6;;0.6000000000000227
2020-03-28T01:00:00+01:00;2020-03-28;01:00:00;0.0;0;180;3.1;275.05;82;20170.0;0;100.0;2760.0;97400.0;300.0;3.4;4.0;5.0;4.7000000000000455
2020-03-29T01:00:00+01:00;2020-03-29;01:00:00;30.0;1;170;1.8;275.45;74;16130.0;0;;;97780.0;380.0;2.5;4.0;;6.600000000000023
2020-10-26T01:00:00+01:00;2020-10-26;01:00:00;-90.0;6;200;2.9;280.35;91;37900.0;61;100.0;1750.0;96800.0;-330.0;3.8;7.4;4.0;8.600000000000023
2020-10-27T01:00:00+01:00;2020-10-27;01:00:00;-40.0;8;230;4.8;279.75;88;7130.0;61;100.0;800.0;97460.0;660.0;8.5;8.5;1.0;8.5
2020-10-28T01:00:00+01:00;2020-10-28;01:00:00;-50.0;8;220;0.7;283.65;93;60000.0;0;90.0;2760.0;97300.0;-160.0;1.1;5.1;7.0;11.600000000000023
2020-10-29T01:00:00+01:00;2020-10-29;01:00:00;100.0;1;160;3.0;282.05;89;38970.0;0;100.0;1250.0;98270.0;970.0;3.9;3.9;8.0;10.600000000000023
2020-10-30T01:00:00+01:00;2020-10-30;01:00:00;-20.0;8;160;2.1;280.35;97;20000.0;0;;;98280.0;10.0;2.8;3.1;;7.600000000000023
2020-10-31T01:00:00+01:00;2020-10-31;01:00:00;-90.0;6;170;2.4;280.85;89;36280.0;0;;;98060.0;-220.0;3.9;4.6;;9.400000000000034
2020-11-06T01:00:00+01:00;2020-11-06;01:00:00;-130.0;6;150;1.7;280.25;93;20430.0;0;100.0;3000.0;97910.0;-570.0;2.3;2.6;5.0;8.200000000000045
2020-11-07T01:00:00+01:00;2020-11-07;01:00:00;-60.0;7;220;1.4;284.45;96;10770.0;0;100.0;3540.0;97360.0;-550.0;3.2;5.3;8.0;11.900000000000034
2020-11-08T01:00:00+01:00;2020-11-08;01:00:00;70.0;1;190;1.8;284.85;94;43850.0;0;100.0;2250.0;97810.0;450.0;3.2;6.7;7.0;12.600000000000023
2020-11-09T01:00:00+01:00;2020-11-09;01:00:00;40.0;0;160;2.8;279.85;89;40330.0;0;;;97690.0;-120.0;3.7;5.0;;8.400000000000034
2020-11-10T01:00:00+01:00;2020-11-10;01:00:00;60.0;1;180;1.9;283.85;93;11880.0;61;100.0;2250.0;98160.0;470.0;2.4;2.7;7.0;11.800000000000011
